Evaluator,Customer,One-Way Miles,Round-Trip Miles,Drive Time (min), 2026 Cost , Bonus , Total 
Gray,Bond Civil Utility,38.94,77.87,99.5, $56.46 , $-   , $56.46 
Gray,Burns Construction Co. (Nga),192.32,384.65,386.1, $278.87 , $-   , $503.87 
Gray,Burrows Bros Inc.,416.56,833.12,799.6, $604.01 , $-   ," $1,329.01 "
Gray,C. B. Utility,178.02,356.04,357.3, $258.13 , $-   , $483.13 
Gray,Capstone Energy (Nga),603.19,1206.37,1130.1, $874.62 , $-   ," $1,599.62 "
Gray,Centerline Utility Services,138.53,277.06,254.1, $200.87 , $-   , $425.87 
Gray,Centuri,174.71,349.42,351.3, $253.33 , $-   , $478.33 
Gray,Certa Cote,273.19,546.38,570.6, $396.13 , $-   , $871.13 
Gray,Clarks Back Roads Enterprises (Nga),424.6,849.19,799.5, $615.66 , $-   ," $1,340.66 "
Gray,Collins Plumbing Corp (Nga),233.77,467.55,473.5, $338.97 , $-   , $813.97 
Gray,Composite Technology & Infrastructure,204.32,408.64,404, $296.26 , $-   , $771.26 
Gray,Con Edison (Nga),240.95,481.9,492.6, $349.38 , $-   , $824.38 
Gray,Corning Natural Gas,418.58,837.15,779.4, $606.93 , $-   ," $1,331.93 "
Gray,Corrtech Corrosion Engineering,73.75,147.5,164.4, $106.94 , $-   , $106.94 
Gray,D&G Contractors Inc,155.05,310.1,318.8, $224.82 , $-   , $449.82 
Gray,DDS Utilities Cortland,362.49,724.97,703.9, $525.60 , $-   ," $1,000.60 "
Gray,DDS Utilities West Henrietta,429.77,859.54,795.1, $623.17 , $-   ," $1,348.17 "
Gray,Dekatherm,323.79,647.59,609.4, $469.50 , $-   , $944.50 
Gray,Dte Vantage,392.74,785.48,753.9, $569.47 , $-   ," $1,044.47 "
Gray,E. Richards Consulting,192.32,384.65,386.1, $278.87 , $-   , $503.87 
Gray,E.E. Root,365.57,731.14,692.8, $530.08 , $-   ," $1,005.08 "
